comment,conditionInfo,dateTime,easeOfUse,effectiveness,helpful,reviewerInfo,satisfaction,supplement
it did not work that good for me,"
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",9/15/2009 6:48:45 PM,,,,,,YOHIMBE
I have noticed a spike in my sexual energy but I never took the recommended dosage I always took 1 less than what the bottle advised but none the less I've had great results.,"
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",8/17/2009 4:53:11 PM,,,,,,YOHIMBE
I was told that Yohimbe was also good as a weight loss supplement. Kept the dosage to 450 mg / day. After about 5 dosages I began to have what appear to be hives. I stopped all supplementation for a week. The rash stopped. I took one dosage of Yohimbe and the next day the rash was back.,"
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",7/18/2009 8:43:19 AM,,,,,,YOHIMBE
It was not effective for me. My doc said it might help my libo issue.,"
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",7/3/2009 11:25:52 AM,,,,,,YOHIMBE
"rapid heart palpitations, cold flashes while sweating heavily, 4 hours of generally better disposition but lead to general feeling of stress","
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",5/31/2010 7:18:06 PM,,,,,,YOHIMBE
"I took 2 2000mg(recommended dosage) of Yohimbe2000 by Puritan Pride and my heart was racing so bad that I thought I was going to have a heart attack. I also got chills. It was my first time trying this. I would recommend to take 1 pill less than the recommended dosage for first time users so you can get a feel of how it will affect you. My blood pressure went up to 214 over 105.  It was pretty scary for about 4 hours. Needless to say, having sex with my girlfriend was the last thing on my mind.","
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",5/21/2010 11:13:50 PM,,,,,,YOHIMBE
good,"
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",3/12/2010 7:47:31 PM,,,,,,YOHIMBE
"Yohimbe is an ingredient in a fat-burning supplement I've been taking to complement my diet.  I didn't realize until after taking the pills that Yohimbe is also used to treat sexual disfunction.  I have had little to no interest in sex for the last three years, and over the last few weeks I've been able to become aroused.  In addition, I've lost a significant amount of weight.  I am very happy with the treatment.","
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",2/8/2010 2:05:52 PM,,,,,,YOHIMBE
,"
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",11/6/2009 2:50:32 PM,,,,,,YOHIMBE
"I took two pills @ 5:00pm(1000mg total)and I became flush,dizzy,couldn't sleep all night and still don't feel right  24 hrs. later. I would use extreme caution  using this herb.It seemed to do a good job in the ED dept. but it is not worth the side effects.","
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",3/22/2011 3:46:18 PM,,,,,,YOHIMBE
I purchased Yohimbe as an alternative Viagra treatment.  The product more than exceeded my expectations.  ,"
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",3/1/2011 7:00:06 PM,,,,,,YOHIMBE
Works!Even increases libido.Start off with a low mg.does then slowly work up.,"
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",11/22/2010 8:59:04 PM,,,,,,YOHIMBE
"works great! had to watch blood pressure, kept me awake if used too late. ","
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",11/3/2010 9:27:29 PM,,,,,,YOHIMBE
it don't work,"
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",7/25/2010 9:26:19 PM,,,,,,YOHIMBE
"Works well for ED. needs to be taken about2 hrs before ""Happy time"". Kept me awake when taken at night (10:00pm) and also caused chills, diminishing the beneficial effects.","
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",5/26/2011 11:29:57 PM,,,,,,YOHIMBE
"To be honest I have only used this on one night so far, but I was very pleasantly surprised.  Libido and slight ED problems over the last year or so.  I have tried Cialis with great results, but I thought I would give this a go as my new girlfriend is very much into vitamins and health food stores.  To quote her ""Wow........wow.....wow.....that is impressive"".  I really hope I continue to get the same results.  In 6 months together she has never seen me close to being at such 'attention' before.  Felt more erect than on Cialis ( which I used before I met her ).","
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",5/18/2011 3:50:09 AM,,,,,,YOHIMBE
"yes, yohimbe does,for most men, work as fAr AS enhanced blood flow to penis...BUT, GOOD GOD! THE SIDE EFFECT ARE HORRIBLE. WHEN TAKING STRAIGHT BRONISH RED POWDER YOU NEED LIKE 1/20 TH OF A VERY LEVEL TEASPOON...ALWAYS TAKE THE SMALLEST DOSE POSSIBLE. OTHERWISE YOULL BE THINKING [AND MAYBY ACTUALLY NEEDING] TO GO TO NEAREST EMERGENCY ROOM TO TRY TO 'COME DOWN' FRON PANIC SWEATS, POWERFUL HEART PALPATIONS, AND GENERAL FEELING OF ABOUT TO DIE....TRY SMALL, VERY SMALL, DOSE FIRST....YOU'LL ALSO, WITH TOO MUCH OF IT, LOSE APPETITE, UNABLE TO SLEEP, FEVERISH VISIONS OF DYING, IF YOU SMOKE, A CIG WILL MAKE YOU NASEOUS... YOULL JUST WANT IT ALL TO END...MEANWHILE THE TENSION CAUSED BY ALL THESE EFFECTS WILL TOTALLY CAUSE YOUR INTERST IN SEX TO DISAPERR.......","
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",4/15/2011 4:58:50 PM,,,,,,YOHIMBE
"YOHIMBE IS HORRIFIC. It actually had a reverse effect. Caused nausia, vomiting and kidney pain. I had lower bowel pain and pressure along with colon swelling and discomfort. It caused no erection for a week after i took yohimbe 451. I will never take yohimbe again. The side effects are horrifing.","
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",4/10/2011 4:20:07 PM,,,,,,YOHIMBE
i found no sideeffects at all but it helped verywell with my problems im 41 yearsold and my wife was unhappy as was i she never complained but i knew i heard about this i tried it we both liked it i just wanted more info on product and clicked on here,"
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",3/26/2011 10:27:04 AM,,,,,,YOHIMBE
"Yohimbe works great when used correctly.  I take it daily preworkout (morning) and have improved workout intensity, increased sexual desire, longer and harder erections and increased orgasims (intensity and volume).  You can't load up on the stuff or you'll feel like your going to burn up and go bonkers.  Take it in moderation and you'll be fine.","
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",11/2/2011 7:15:07 PM,,,,,,YOHIMBE
yohimbe is strong stuff and not without side effects.  I have had rapid heart beat and excessive sweating.  But it makes you rock hard.,"
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",10/6/2011 5:52:44 PM,,,,,,YOHIMBE
,"
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",8/26/2011 1:52:31 PM,,,,,,YOHIMBE
I could not sleep for more than 24 hrs. after taking this product. be very careful when you use this product.,"
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",7/31/2011 1:10:37 PM,,,,,,YOHIMBE
"I received a prescription for Yohimbine from my Uroligist. I had my prostate removed almost 2 years ago because of prostate cancer. They did the nerve sparing surgery but I still lost a nerve down one side because of the location of the cancer. My PSA was coming back up after the surgery and I had pin point radiation treatment on my prostate bed which didn't work. I was given Lupron to lower my testorone because prostate cancer thrives on testosterone. I have had all kinds of scans done on my body and they can't find the cancer. I told my doctor that I was unable to have an orgasm and he said this was because my testosterone levels were low. He said that Yohimbine would help and it has on several occasions. Currently I have to give myself an injection in the penis to get an erection and remember to take the Yohimbine about 2 hours ahead of time to have some ""Happy Time"". It works. I hope this information helps someone.","
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",6/21/2011 4:23:55 PM,,,,,,YOHIMBE
52 years old. No side effects. Hard as a rock. Much improved sex life.,"
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",5/8/2012 10:11:50 PM,,,,,,YOHIMBE
"Took one 500mg capsule and blood pressure dropped, with chills,dizziness, and blurred vision.  No more of this for me.","
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",4/13/2012 4:56:25 PM,,,,,,YOHIMBE
"Racing pulse, shivers and generally felt ill for several hours.","
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",3/22/2012 12:23:09 AM,,,,,,YOHIMBE
"I tried Yohimbe about 6 months ago and the experience was horrible. I had many of the negative side effects-Heart racing, chills,overall feeling of dread. I put it in the locker and forgot about it. Over the last six months I have lost about 50 lbs and have been working out regularly every week. I decided to give it another try. I was seriously worried about my health after taking it last Saturday. All the previous symptoms returned. My blood pressure was still elevated on Sunday. On Monday morning it was still a little high. Normally my BP is well within the normal range even when I was 50 lbs heavier. It has now been 48 hours and I am starting to feel like myself again. I have thrown the remainder in the trash. Please make sure you are under medical supervision before and during using this product.","
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",3/19/2012 7:44:19 PM,,,,,,YOHIMBE
"I only took 4 mg of yohimbe extract that was in a libido boosting pill. My stage one high blood pressure that is normally 80/135 shot up to 110/205, gave me chills, and robbed me of an entire nights sleep.  This drug should be percription only and is outlawed in other countries.  Let's all celebrate when Viagra goes generic.  Whoohoo!","
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",12/25/2011 7:45:36 AM,,,,,,YOHIMBE
"Great for the ED. But dizziness, sweating, Side effects also felt like hieves! If I knew now what I knew I would not have ordered it. PERIOD>","
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",3/2/2013 11:08:22 PM,,,,,,YOHIMBE
"I took one pill that was only 112.5 mg. Like others said, when your heart starts racing and you have severe nausea and you just have to lay down for a few hours and pray that the symptoms pass quickly, sex is definitely the last thing on your mind. The first time I took a pill I had those symptoms but thought I was just getting very sick and didn't realize it was caused by the Yohimbe. I took a pill a few days later and had the exact same symptoms and realized why. Then I tried half a pill, so about 55mg and didn't have severe symptoms, but didn't have any benefits that I was hoping for either. I've read about the negative long-term effects on your heart etc. so I won't be trying this again.","
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",1/15/2013 11:56:45 AM,,,,,,YOHIMBE
"Insomnia, racing heart, night sweats. I took one capsule first time.","
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",11/18/2012 10:28:09 AM,,,,,,YOHIMBE
"I took only 2 doses, 1st was 200mgs and experienced almost flu like symtoms-racing heart, nausea,chills,insomnia. Don't know why I gave it a second chance, this time 100mgs, same symtoms, 1/2 as bad. Not going near it again","
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",11/8/2012 11:32:47 AM,,,,,,YOHIMBE
"Similar to the experiences of several other reviewers on this post, I tried a 451mg dose of Yohimbe and experienced flu-like symptoms that included chills, sneezing, runny nose, etc. Together with these symptoms, I also experienced restlessness/sleeplessness, nervousnous, slight blurring of my vision, and a very odd combination of chills alernating with bouts of profuse perspiration that literally soaked the underarms, front, and lower back of my shirt. 
While I did also experience a couple of erections,for me there are simply too many undesirable side effects to warrant taking this supplement again in the future.  ","
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",6/29/2012 7:14:45 PM,,,,,,YOHIMBE
"Lost an entire nights sleep. Heart pounding, felt like my nerves were exploding. Saw flying bats while sitting outside-no one else saw. Do not take this drug. Probably imported from Africa via Al Qaeda to kill Americans!","
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",6/2/2013 8:46:38 AM,,,,,,YOHIMBE
"Yohimbe is toxic, 2 times the normal dose causes extreme toxic side effects, It interacts with almost every other herb/vitamin out there making it unpredictable, I once ate a banana and had to vomit for over an hour to prevent what felt like it was going to kill me. I was on the verge of losing consciousness and my kidneys and every blood vessel have never hurt so bad in my life, and if tried some crazy combos. Stear clear of this one unless you are willing to totally research what it is how it works and what the risks are.","
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",5/22/2013 9:14:46 AM,,,,,,YOHIMBE
Some of these opinions may contain information about treatments or uses of drug products that have not been approved by the US Food and Drug Administration,"
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",5/13/2013 10:42:39 PM,,,,,,YOHIMBE
,"
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",5/3/2013 7:05:35 PM,,,,,,YOHIMBE
"My boyfriend gave me one pill this morning and I have vomited twice, my heart is racing, I'm sweating and shaking like crazy. This is terrible! I have taken many supplements and NEVER had a reaction like this.","
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",4/15/2013 9:53:22 AM,,,,,,YOHIMBE
"took 750 mg one time and felt flu-like symptons, nasal drip, feeling of chills for about 5 hours.","
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",7/11/2013 8:23:02 PM,,,,,,YOHIMBE
"Tried a product called Max Stamina whose main ingredient is Yohimbe.  Shame on me...took it on an empty stomach and after a prior night of little sleep (for unrelated reasons), followed by a long work day (12 hrs).  However, thought others might find it helpful to know that if you find yourself taking this product under these circumstances, you will probably experience the following: Cold sweat, your heart wants to jump out of your throat, it helps with ED in the moment needed and NO OTHER TIME.  Was relieved to see other reviews indicating nausea (thought it was because of my poor diet prior to taking the pills), but was nauseous for hours, dizzy upon standing, and saw little light tracers everywhere! and I stand by the notion that they were NOT a result of cataract surgery in my right eye 5 days prior.  Other information that may be useful is that I am 5'9"", 130lbs, age 36, and only ingested a single pill.  Max Stamina does what it says and only that...nothing more.  After climax the Yohimbe goes up in the tree house and continues to make you feel terrible for several subsequent hours.  Here's to a 2nd night without sleep...ugh!!","
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",7/2/2013 4:47:29 AM,,,,,,YOHIMBE
It made my heart want to jump out of my chest and it turned my guts inside out! The next morning My head hurt so bad I could not move! On top of that it did nothing for me in the bedroom. ,"
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",6/29/2013 5:01:20 PM,,,,,,YOHIMBE
"Horrible took one time vomiting sweating, nasea headache. I have very low sex drive and wanted to try it.","
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",6/26/2013 8:04:59 PM,,,,,,YOHIMBE
"Yohimbe is a terrible drug, I got high blood pressure, irregular heart beats, and just felt sick for hours, didn't throw up, but felt like I would.  Also had a sense of panic quite often for the first few hours.","
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",6/13/2013 2:18:17 PM,,,,,,YOHIMBE
"I read that it helps with energy (often Yohimbe is used in some energy shots). I purchased the pill form of Yohimbe without any other added ingredients and within half an hour I could feel an adrenaline rush. Within 1 hour I was shaking, nervous, feeling jittery, and very unfocused. As far as any sexual increase I did feel a slight sexual increase but nothing to rave about. As far as using it to create energy to work, exercise, or do other activity it was horrible. My hands were shaking too much to do anything. I think Yohimbe is no better than drinking 10 cups of coffee all at once which is unhealthy to do. I think a lot of over the counter products are over rated and most the actual scientific evidence is all too often inconclusive. I would not recommend taking Yohimbe nor any product containing Yohimbe unless you like feeling strung out.","
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",11/4/2013 9:11:24 AM,,,,,,YOHIMBE
"Take this at 11am and 3pm everyday and have got amazing results out of it. My sex drive has doubled, sex feels a lot better, workouts are better can go a lot longer. No bad side effects I recommend this everyone, only take recommended dosage though.","
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",9/11/2013 1:19:40 AM,,,,,,YOHIMBE
"For several years I have been using Yohimbe Plus containing 450 mg  when tadalafil was temporarily inaccessible. It results in general arousal, with hot flashes and sometimes light dizziness. Tadalafil is far more certain as an antidote against ED, but Yohimbe is far preferrable to ED. It is recommended that red wine should be avoided - which I generally do - but white wines will go down well.","
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",8/29/2013 8:03:13 AM,,,,,,YOHIMBE
Allergic reaction to it,"
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",7/22/2013 10:56:36 AM,,,,,,YOHIMBE
used this product for weight loss and achieved excellent results.Also an increase in energy levels,"
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",7/22/2013 8:18:33 AM,,,,,,YOHIMBE
"l used it for the first time and it was amazing, yet it did cause sleeplessness. actually l did not sleep after taking it once it took affect up to an hour later. All l had to do was lightly touch bottom of penis and it got very erect. did notice it caused heart to race.","
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",1/22/2014 11:24:44 AM,,,,,,YOHIMBE
"I am a very healthy 32 yo male in the medical profession.  Gave Y a try as part of my regimen for weight training for the appetite suppression.  

It WORKED, but the side effects for me were horrific.  I took 5mg of yohimbine HCl around 2pm.  No hunger AT ALL for the rest of the day, but I experienced the heart palpitations, some dizziness and the worst diarrhea of my life.  After about 6 hours, it subsided, however I woke up every 1 hour that night with a RELENTLESS erection.  Never having had any ED issues, this was NOT an added benefit to me.  To hopefully get rid of the erection, I ""took care of myself.""  It went away, but kept coming back all night.

SUMMARY:  For me personally, it worked for appetite suppression with a SIGNIFICANT unwanted boost in the ability to get a maintain an erection.  However, the side effects of nausea, diarrhea and insomnia were no where NEAR the benefit.  Too dangerous, and will not try again.","
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",11/29/2013 10:39:50 AM,,,,,,YOHIMBE
"I have had low sex drive and mild ED for about 15 years (I'm 35). I sought treatment in every form possible without any significant improvement. I stumbled across Yohimbe in a work out supplement. While using it my ED is all but gone and I have greatly increased sex drive...that being said the side-effects are harsh. I have noticed mildly increased blood-pressure (not enough to be dangerous), insomnia (in high doses this can last up to 24 hours and is the worst side effect), occasional headaches, nervousness and frequent urination. Through trial and error I have found that even a low dosage (approximate 30 mg) of Yohimbe can be effective and the smaller the dose the more manageable the side effects. I see that lots of people complain about nausea. They need to do more research. A side effect of Yohimbe is difficulty processing tyramine. If you eat anything containing tyramine (red wine, cheese, red meat) you are going to have a bad time. Avoid those foods and you will be OK as far as nausea is concerned. Final Summary: It works just avoid the foods above and keep the dose small. In a small dose the effects last about 8 hours. ","
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",11/18/2013 6:29:27 PM,,,,,,YOHIMBE
"runny nose, chills","
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",11/15/2013 2:54:31 PM,,,,,,YOHIMBE
"heart palpitations, running nose, burning eyes. ","
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",11/15/2013 2:46:25 PM,,,,,,YOHIMBE
A small penis and no stamina,"
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",4/7/2014 10:26:01 PM,,,,,,YOHIMBE
YOHIMBE 450MG FROM GNC has made a difference in my sex drive and produced good results. I liked the results from one pill so I figured if I take 2 it would be better.WRONG I was up all night. BAD TRIP. Take as prescribed.,"
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",4/5/2014 4:17:10 PM,,,,,,YOHIMBE
"What a devisive issue here! I've noticed that the old 'steel libido' supplements list far too high of a dose for someone ~170lb mid twenties. It says take 4, thats about 10mg of yohimbine. If you evenly spaced these throughout the day you would probably never sleep. I can take 1 [2.5 mg!!!] and sleep after 5-6 hours have passed. Sensitization comes with use, but there is also something called adrenal fatigue. I don'tt associate any lingeriing toxicity with this, nor would I ever be tempted to take a high dose.

Once I had a bag of 5 grams of yohimbine hcl. I was at a music festival in south america.. havin a good time. I showed some friends I'd met there my bag of yohimbine hoping to trade it for goods or goodwill. I was trying very hard to communicte the dose in spanish to them. They really didn't get the miligrams part of it. The guy dipped his finger in the powder, and I cautioned him profusely en espanol. he licked a dusting of powder off his finger. I saw him later and asked if he was ok. He admitted that it was very strong, as I had initially cautioned him that it was.

I would recommend, personally, the freebase form of yohimbine as it has favorable vaporization characteristics, and I personally would not heat an HCL in hopes it would do anything but decompose. Yohimbine has favorable vasodialation properties, the problem is getting it to the brain around the digestive system, where it tends to just do all sorts of stuff nobody likes.

also I think topical yohimbine has been done or suggested. Get the form right, do your research if you want to go that route. Yohimbine lube anyone? Achieve what none have thought possible... a 6 hour erection. The question is, how long does consent really take? Or, in relative terms, how many thrusts?","
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",3/12/2014 7:59:19 PM,,,,,,YOHIMBE
"I took 500mg of this stuff, and I feel terrible. It works for an erection, but it also makes your heart race, upsets your stomach, causes you not to be able to sleep, causes severe indigestion, and does other things. My advice is to don't take this crap. It is dangerous and should be illegal. I'm considering going to the ER.","
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",3/11/2014 8:18:14 AM,,,,,,YOHIMBE
"It is very good. The problem is that makes me sick in the stomach for 6 hours; and it makes me jumpy, agitated.","
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",3/9/2014 1:55:27 PM,,,,,,YOHIMBE
"I tried this treatment for ED and low libido. I found my erections improved, but was unable to continue due to insomnia, nervousness and mild anxiety.","
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",6/29/2014 8:53:49 AM,,,,,,YOHIMBE
,"
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",6/27/2014 1:22:23 PM,,,,,,YOHIMBE
"I never ever had ANY of the sid effects mentioned by pretty much everyone else. I took 300mg only once a day in the morning and it suppressed appetite beyond expectation! MORE than just suppression, I was also just NOT INTERESTED in food at all! BIG distinction since I can eat while not hungry very easily. I slept fine. No palpitations, no stomach upset, no headache, NADA! I was feeling pretty good so after about 4-5 days I took a 2nd dose mid morning, sometimes early afternoon(the bottle recommends two of the 300mg 2-3 times a day so I played it safe). Slept fine at night and still no side effects until maybe the 2nd or 3rd day with the 2nd dose and I began 'breaking out' on my forehead down my nose. THEN it became a 'rash' hives-like situation and I was at first puzzled and upset. I stopped taking 3 other supplements thinking it may be them but realized Yohimbe is known for hives. Sure enough...when I stopped..the horrible face rash began to subside..but slowly. I was bummed. I thought maybe I would only have positive results. I even thought about continuing but with the original one pill (300mg) a day but from what I read, the rash will come back or remain. NO THANK YOU! It was pretty disturbing. Such a shame. But clearly a low dose is KEY. ","
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",5/19/2014 4:31:43 PM,,,,,,YOHIMBE
"Have taken on/off for 15 yrs. Great for concentration,  energy,  the feeling that there is no obstacle/problem I can't overcome! Works great with coffee in the morning before work.  Work in construction as an operator.  The biggest side effect is an erection when operating a machine that bounces a lot!  Have had wonderful experiences in the bedroom;  more feeling,  greater pleasure, last longer,  harder, and won't go down until I decide to. Have not had any depression, P.T.S.D., or meds to conflict with.  I am greatly pleased with the results and am glad to share my experience with others.  To each his own.","
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",5/9/2014 9:24:53 PM,,,,,,YOHIMBE
"mild allergic reaction: tremor, red eyes, runny nose, skin flush
","
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",4/8/2014 8:02:38 PM,,,,,,YOHIMBE
"I experienced tremors, racing heartbeat and elevated blood pressure of 157/100 with a headache. Read the side effects before making a decision to take!","
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",8/14/2014 9:52:02 AM,,,,,,YOHIMBE
i purchase it at a shop in london and it has work wonders for me,"
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",8/6/2014 8:28:31 PM,,,,,,YOHIMBE
I took it because I heard it gets you wired. BOY OH BOY does it . It also gives you a body high similar to that of mescaline. Though it did upset my stomach it didn't make me sick. It is a very intense high and I would not recomend it to be used by anyone with heart problems.As for a sexual stimulent it works but not until several hours after I took it . Because I was so wired I couldn't even think straight .Possibly because I took 4000 mg on an empty stomach. It is alot more comfortable in a dose half that size taken with food. I think it would be or is a good replacement for meth.It could quite possibley be used to help meth addicts get off meth. But this is only my opinion and I am not an authority on yohimbe I have ben on meth for more than twenty years and it has worked for me . you do the math I think it is a good product it has helped me maybe it can do the same for other people too,"
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",7/24/2014 10:52:35 AM,,,,,,YOHIMBE
Bodybuilding,"
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",7/23/2014 8:35:23 PM,,,,,,YOHIMBE
"This treatment gave me a raging erection that lasted all most all night---long after my wife was done.  It also made me sicker than a dog, including accelerated heartbeat, chills, sweats, insomnia, nightmares, and etc.  I felt sick the next day and had little appetite.  I guess it depends on how desperate you are, I doubt the erection is worth the health risk and I won't take it again.   ","
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",7/18/2014 6:22:27 PM,,,,,,YOHIMBE
